迭代,目标值,资源缺口,总资源需求,均衡系数,资源冗余,任务组数
84,5949.225391742361,0,29,0.3019225391742361,30,3
88,5949.225391742361,0,29,0.3019225391742361,30,3
89,7839.42908289317,0,30,0.480942908289317,30,3
90,7290.357834427259,0,29,0.4360357834427259,30,3
92,7549.639571505521,0,29,0.46196395715055216,30,3
93,7549.639571505521,0,29,0.46196395715055216,30,3
94,7325.402509611203,0,29,0.4395402509611203,30,3
96,7204.539665371849,0,29,0.4274539665371849,30,3
97,7325.402509611203,0,29,0.4395402509611203,30,3
99,7325.402509611203,0,29,0.4395402509611203,30,3
102,7325.402509611203,0,29,0.4395402509611203,30,3
104,7325.402509611203,0,29,0.4395402509611203,30,3
105,7325.402509611203,0,29,0.4395402509611203,30,3
106,7204.539665371849,0,29,0.4274539665371849,30,3
107,7204.539665371849,0,29,0.4274539665371849,30,3
108,6320.365549484222,0,30,0.32903655494842227,30,3
109,6320.365549484222,0,30,0.32903655494842227,30,3
110,6320.365549484222,0,30,0.32903655494842227,30,3
112,6381.65959972587,0,30,0.33516595997258697,30,3
113,6208.3617543907,0,30,0.31783617543907,30,3
115,6409.653704757644,0,32,0.31796537047576434,30,3
116,6409.653704757644,0,32,0.31796537047576434,30,3
119,8701.099829994644,0,28,0.5871099829994644,30,3
120,8568.154043585035,0,27,0.5838154043585034,30,3
121,6688.895578704405,0,32,0.34588955787044046,30,3
122,6409.653704757644,0,32,0.31796537047576434,30,3
123,6166.855063034284,0,31,0.30368550630342844,30,3
124,6166.855063034284,0,31,0.30368550630342844,30,3
125,6869.025814970491,0,31,0.3739025814970492,30,3
127,6166.855063034284,0,31,0.30368550630342844,30,3
128,6166.855063034284,0,31,0.30368550630342844,30,3
129,4975.903790933121,0,29,0.20459037909331212,30,3
132,4675.462744167795,0,28,0.18454627441677945,30,3
134,4675.462744167795,0,28,0.18454627441677945,30,3
135,4968.868946717832,0,31,0.1838868946717832,30,3
137,4968.868946717832,0,31,0.1838868946717832,30,3
138,5189.252311106266,0,31,0.20592523111062655,30,3
139,5189.252311106266,0,31,0.20592523111062655,30,3
140,5189.252311106266,0,31,0.20592523111062655,30,3
142,5696.606155341169,0,32,0.24666061553411697,30,3
143,5696.606155341169,0,32,0.24666061553411697,30,3
145,4968.868946717832,0,31,0.1838868946717832,30,3
147,4968.868946717832,0,31,0.1838868946717832,30,3
148,4968.868946717832,0,31,0.1838868946717832,30,3
149,4659.274831445652,0,28,0.1829274831445652,30,3
150,4659.274831445652,0,28,0.1829274831445652,30,3
151,4653.72558005307,0,27,0.19237255800530703,30,3
155,4740.726644277891,0,27,0.2010726644277891,30,3
156,4675.462744167795,0,28,0.18454627441677945,30,3
157,4675.462744167795,0,28,0.18454627441677945,30,3
158,4998.441912163429,0,28,0.21684419121634285,30,3
160,4998.441912163429,0,28,0.21684419121634285,30,3
161,4998.441912163429,0,28,0.21684419121634285,30,3
163,4998.441912163429,0,28,0.21684419121634285,30,3
166,5578.1245604553405,0,29,0.2648124560455341,30,3
167,5578.1245604553405,0,29,0.2648124560455341,30,3
168,5578.1245604553405,0,29,0.2648124560455341,30,3
170,5578.1245604553405,0,29,0.2648124560455341,30,3
173,6625.0024980850185,0,32,0.33950024980850185,30,3
174,6625.0024980850185,0,32,0.33950024980850185,30,3
175,7045.760541997361,0,32,0.381576054199736,30,3
177,6773.990689213102,0,30,0.37439906892131014,30,3
178,7082.262221945246,0,28,0.4252262221945246,30,3
179,7082.262221945246,0,28,0.4252262221945246,30,3
181,6386.020786242949,0,27,0.3656020786242949,30,3
183,6079.149987166553,0,29,0.31491499871665524,30,3
