迭代,目标值,通信中断_s,硬时限违反_s,联合完成_s,总能耗_kWh,中继架次
33,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
34,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
35,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
36,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
37,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
38,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
39,295579.8664651858,0.0,145177.47294796008,43683.60655108696,95.68573876332255,19
40,295579.8664651858,0.0,145177.47294796008,43683.60655108696,95.68573876332255,19
41,295579.8664651858,0.0,145177.47294796008,43683.60655108696,95.68573876332255,19
42,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
43,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
44,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
45,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
46,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
47,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
48,295579.9418577784,0.0,145177.47294796008,43730.27321775363,95.69999802258181,19
49,295579.9984022229,0.0,145177.47294796008,43765.27321775363,95.71069246702625,19
50,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
51,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
52,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
53,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
54,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
55,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
56,295579.98072779324,0.0,145177.47294796008,43753.332438125995,95.70866045871927,19
57,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
58,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
59,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
60,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
61,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
62,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
63,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
64,295579.9473352007,0.0,145177.47294796008,43706.665771459324,95.69440119946,19
65,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
66,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
67,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
68,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
69,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
70,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
71,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
