架次编号,路线编号,候选排名,中继点,经度,纬度,悬停高度_m,通信中断_s,覆盖率,是否需要中继,中继能耗_kWh
T002,R006,20,O01-S013-0.35,109.24503797,23.016412045,300.0,0.0,1.0,True,0.7785842784649286
T001,R007,1,O01,109.2308517,23.0085095,80.0,0.0,1.0,False,0.0
T001,R007,2,S001,109.2432319,23.0335927,80.0,0.0,1.0,False,0.0
T001,R007,3,S002,109.2585519,23.0703271,80.0,0.0,1.0,False,0.0
T001,R007,4,S003,109.1688578,23.0402714,80.0,0.0,1.0,False,0.0
T001,R007,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T001,R007,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T001,R007,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T001,R007,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T001,R007,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T001,R007,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T001,R007,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T001,R007,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T001,R007,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T001,R007,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T001,R007,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T001,R007,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T001,R007,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T001,R007,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T001,R007,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T001,R007,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
T024,R008,1,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,True,0.6064261593204695
T024,R008,2,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.6191064763118589
T024,R008,3,O01-S001-0.50,109.2370418,23.0210511,160.0,0.0,1.0,True,0.6206854185797287
T024,R008,4,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,True,0.6259061568139557
T024,R008,5,O01-S009-0.35,109.23900344500001,23.02488579,80.0,0.0,1.0,True,0.6264056801169744
T024,R008,6,O01-S013-0.35,109.24503797,23.016412045,160.0,0.0,1.0,True,0.6279815630221298
T024,R008,7,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.6333657355711182
T024,R008,8,O01-S005-0.35,109.22995871,23.025178005,160.0,0.0,1.0,True,0.6343265176289894
T024,R008,9,O01-S001-0.50,109.2370418,23.0210511,240.0,0.0,1.0,True,0.634944677838988
T024,R008,10,O01-S001-0.65,109.23889883,23.02481358,160.0,0.0,1.0,True,0.640165416073215
T024,R008,11,O01-S009-0.35,109.23900344500001,23.02488579,160.0,0.0,1.0,True,0.6406649393762336
T024,R008,12,O01-S013-0.35,109.24503797,23.016412045,240.0,0.0,1.0,True,0.642240822281389
T024,R008,13,O01-S010-0.50,109.25343425,23.013955199999998,80.0,0.0,1.0,True,0.6433257740331899
T024,R008,14,O01-S013-0.50,109.2511178,23.01979885,80.0,0.0,1.0,True,0.6446771301151865
T024,R008,15,O01-S001-0.50,109.2370418,23.0210511,300.0,0.0,1.0,True,0.6456391222834325
T024,R008,16,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.6476249948303774
T024,R008,17,O01-S005-0.35,109.22995871,23.025178005,240.0,0.0,1.0,True,0.6485857768882487
T024,R008,18,O01-S012-0.35,109.2491511,23.024593574999997,80.0,0.0,1.0,True,0.6515458009632291
T024,R008,19,O01-S002-0.35,109.24054677000001,23.03014566,80.0,0.0,1.0,True,0.6517956409572696
T024,R008,20,O01-S013-0.35,109.24503797,23.016412045,300.0,0.0,1.0,True,0.6529352667258335
T028,R009,1,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,True,0.6064261593204695
T028,R009,2,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.6191064763118589
T028,R009,3,O01-S001-0.50,109.2370418,23.0210511,160.0,0.0,1.0,True,0.6206854185797287
T028,R009,4,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,True,0.6259061568139557
T028,R009,5,O01-S009-0.35,109.23900344500001,23.02488579,80.0,0.0,1.0,True,0.6264056801169744
T028,R009,6,O01-S013-0.35,109.24503797,23.016412045,160.0,0.0,1.0,True,0.6279815630221298
T028,R009,7,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.6333657355711182
T028,R009,8,O01-S005-0.35,109.22995871,23.025178005,160.0,0.0,1.0,True,0.6343265176289894
T028,R009,9,O01-S001-0.50,109.2370418,23.0210511,240.0,0.0,1.0,True,0.634944677838988
T028,R009,10,O01-S001-0.65,109.23889883,23.02481358,160.0,0.0,1.0,True,0.640165416073215
T028,R009,11,O01-S009-0.35,109.23900344500001,23.02488579,160.0,0.0,1.0,True,0.6406649393762336
T028,R009,12,O01-S013-0.35,109.24503797,23.016412045,240.0,0.0,1.0,True,0.642240822281389
T028,R009,13,O01-S010-0.50,109.25343425,23.013955199999998,80.0,0.0,1.0,True,0.6433257740331899
T028,R009,14,O01-S013-0.50,109.2511178,23.01979885,80.0,0.0,1.0,True,0.6446771301151865
T028,R009,15,O01-S001-0.50,109.2370418,23.0210511,300.0,0.0,1.0,True,0.6456391222834325
T028,R009,16,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.6476249948303774
T028,R009,17,O01-S005-0.35,109.22995871,23.025178005,240.0,0.0,1.0,True,0.6485857768882487
T028,R009,18,O01-S012-0.35,109.2491511,23.024593574999997,80.0,0.0,1.0,True,0.6515458009632291
T028,R009,19,O01-S002-0.35,109.24054677000001,23.03014566,80.0,0.0,1.0,True,0.6517956409572696
T028,R009,20,O01-S013-0.35,109.24503797,23.016412045,300.0,0.0,1.0,True,0.6529352667258335
T012,R010,1,S011-O01-0.50,109.22559365000001,23.0202163,160.0,0.0,1.0,True,0.8213402214973006
T012,R010,2,S011-O01-0.50,109.22559365000001,23.0202163,240.0,0.0,1.0,True,0.8355994807565599
T012,R010,3,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.8392511038818454
T012,R010,4,S011-O01-0.50,109.22559365000001,23.0202163,300.0,0.0,1.0,True,0.8462939252010042
T012,R010,5,S015-O01-0.65,109.217386115,23.022840355,160.0,0.0,1.0,True,0.8511111943352185
T012,R010,6,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.8535103631411047
T012,R010,7,S011-O01-0.35,109.224016235,23.023728339999998,300.0,0.0,1.0,True,0.8642048075855491
T012,R010,8,S015-O01-0.65,109.217386115,23.022840355,240.0,0.0,1.0,True,0.8653704535944778
T012,R010,9,S007-O01-0.50,109.2118354,23.01896405,240.0,0.0,1.0,True,0.8723833726777372
T012,R010,10,S015-O01-0.65,109.217386115,23.022840355,300.0,0.0,1.0,True,0.8760648980389223
T012,R010,11,S007-O01-0.50,109.2118354,23.01896405,300.0,0.0,1.0,True,0.8830778171221817
T012,R010,12,O01-S003-0.35,109.209153835,23.019626165,240.0,0.0,1.0,True,0.884088648351594
T012,R010,13,S007-O01-0.35,109.20613051,23.022100415,160.0,0.0,1.0,True,0.8870692338610605
T012,R010,14,S001-S011-0.65,109.228349305,23.03250746,240.0,0.0,1.0,True,0.8894093568687609
T012,R010,15,S015-O01-0.50,109.21161515,23.028982149999997,160.0,0.0,1.0,True,0.8894561153958165
T012,R010,16,grid-1-1,109.20710406666666,23.0299769,80.0,0.0,1.0,True,0.8921364097624838
T012,R010,17,O01-S003-0.35,109.209153835,23.019626165,300.0,0.0,1.0,True,0.8947830927960383
T012,R010,18,S011,109.2203356,23.0319231,240.0,0.0,1.0,True,0.8953021540819627
T012,R010,19,S008-O01-0.65,109.224515125,23.03336013,240.0,0.0,1.0,True,0.8961205489325667
T012,R010,20,S001-S011-0.65,109.228349305,23.03250746,300.0,0.0,1.0,True,0.9001038013132054
T011,R011,1,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.8875762610844831
T011,R011,2,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.9018355203437423
T011,R011,3,S007-O01-0.65,109.21754029,23.015827684999998,300.0,0.0,1.0,True,0.9024573559490512
T011,R011,4,S007-O01-0.50,109.2118354,23.01896405,160.0,0.0,1.0,True,0.9064492706211156
T011,R011,5,S011-O01-0.35,109.224016235,23.023728339999998,300.0,0.0,1.0,True,0.9125299647881868
T011,R011,6,S015-O01-0.65,109.217386115,23.022840355,240.0,0.0,1.0,True,0.9136956107971155
T011,R011,7,S007-O01-0.50,109.2118354,23.01896405,240.0,0.0,1.0,True,0.9207085298803749
T011,R011,8,S015-O01-0.65,109.217386115,23.022840355,300.0,0.0,1.0,True,0.9243900552415599
T011,R011,9,S007-O01-0.50,109.2118354,23.01896405,300.0,0.0,1.0,True,0.9314029743248193
T011,R011,10,O01-S003-0.35,109.209153835,23.019626165,240.0,0.0,1.0,True,0.9324138055542316
T011,R011,11,S007-O01-0.35,109.20613051,23.022100415,160.0,0.0,1.0,True,0.9353943910636981
T011,R011,12,O01-S003-0.35,109.209153835,23.019626165,300.0,0.0,1.0,True,0.943108249998676
T011,R011,13,S007-O01-0.35,109.20613051,23.022100415,240.0,0.0,1.0,True,0.9496536503229573
T011,R011,14,O01-S003-0.50,109.19985475,23.02439045,80.0,0.0,1.0,True,0.950261456048937
T011,R011,15,S015-O01-0.50,109.21161515,23.028982149999997,240.0,0.0,1.0,True,0.9520405318577134
T011,R011,16,grid-1-1,109.20710406666666,23.0299769,160.0,0.0,1.0,True,0.9547208262243807
T011,R011,17,S008-O01-0.65,109.224515125,23.03336013,300.0,0.0,1.0,True,0.9551401505796487
T011,R011,18,S007-O01-0.35,109.20613051,23.022100415,300.0,0.0,1.0,True,0.9603480947674019
T011,R011,19,S015-O01-0.50,109.21161515,23.028982149999997,300.0,0.0,1.0,True,0.9627349763021578
T011,R011,20,S006-S007-0.65,109.195256675,23.02182199,80.0,0.0,1.0,True,0.9632077701298551
T015,R012,1,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.944810292368063
T015,R012,2,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.9590695516273222
T015,R012,3,S007-O01-0.65,109.21754029,23.015827684999998,300.0,0.0,1.0,True,0.9596913872326311
T015,R012,4,S011-O01-0.35,109.224016235,23.023728339999998,300.0,0.0,1.0,True,0.9697639960717668
T015,R012,5,S015-O01-0.65,109.217386115,23.022840355,240.0,0.0,1.0,True,0.9709296420806954
T015,R012,6,S007-O01-0.50,109.2118354,23.01896405,240.0,0.0,1.0,True,0.9779425611639548
T015,R012,7,S015-O01-0.65,109.217386115,23.022840355,300.0,0.0,1.0,True,0.9816240865251399
T015,R012,8,S007-O01-0.50,109.2118354,23.01896405,300.0,0.0,1.0,True,0.9886370056083993
T015,R012,9,O01-S003-0.35,109.209153835,23.019626165,240.0,0.0,1.0,True,0.9896478368378115
T015,R012,10,S007-O01-0.35,109.20613051,23.022100415,160.0,0.0,1.0,True,0.9926284223472781
T015,R012,11,O01-S003-0.35,109.209153835,23.019626165,300.0,0.0,1.0,True,1.000342281282256
T015,R012,12,S007-O01-0.35,109.20613051,23.022100415,240.0,0.0,1.0,True,1.0068876816065373
T015,R012,13,O01-S003-0.50,109.19985475,23.02439045,80.0,0.0,1.0,True,1.0074954873325168
T015,R012,14,S015-O01-0.50,109.21161515,23.028982149999997,240.0,0.0,1.0,True,1.0092745631412934
T015,R012,15,grid-1-1,109.20710406666666,23.0299769,160.0,0.0,1.0,True,1.0119548575079607
T015,R012,16,S008-O01-0.65,109.224515125,23.03336013,300.0,0.0,1.0,True,1.0123741818632288
T015,R012,17,S007-O01-0.35,109.20613051,23.022100415,300.0,0.0,1.0,True,1.0175821260509819
T015,R012,18,S015-O01-0.50,109.21161515,23.028982149999997,300.0,0.0,1.0,True,1.0199690075857377
T015,R012,19,S006-S007-0.65,109.195256675,23.02182199,80.0,0.0,1.0,True,1.020441801413435
T015,R012,20,O01-S003-0.50,109.19985475,23.02439045,160.0,0.0,1.0,True,1.0217547465917762
T013,R013,1,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.6728717896058471
T013,R013,2,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,True,0.6796714701079439
T013,R013,3,O01-S009-0.35,109.23900344500001,23.02488579,80.0,0.0,1.0,True,0.6801709934109625
T013,R013,4,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.6871310488651065
T013,R013,5,O01-S005-0.35,109.22995871,23.025178005,160.0,0.0,1.0,True,0.6880918309229777
T013,R013,6,O01-S001-0.65,109.23889883,23.02481358,160.0,0.0,1.0,True,0.6939307293672032
T013,R013,7,O01-S009-0.35,109.23900344500001,23.02488579,160.0,0.0,1.0,True,0.6944302526702218
T013,R013,8,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.7013903081243658
T013,R013,9,O01-S005-0.35,109.22995871,23.025178005,240.0,0.0,1.0,True,0.702351090182237
T013,R013,10,O01-S012-0.35,109.2491511,23.024593574999997,80.0,0.0,1.0,True,0.7053111142572175
T013,R013,11,O01-S005-0.50,109.22957600000001,23.03232165,80.0,0.0,1.0,True,0.7075076086038431
T013,R013,12,O01-S001-0.65,109.23889883,23.02481358,240.0,0.0,1.0,True,0.7081899886264624
T013,R013,13,O01-S009-0.35,109.23900344500001,23.02488579,240.0,0.0,1.0,True,0.7086895119294812
T013,R013,14,S001-S011-0.65,109.228349305,23.03250746,80.0,0.0,1.0,True,0.7087707833335034
T013,R013,15,S001-S011-0.50,109.23178375,23.0327579,80.0,0.0,1.0,True,0.7094958542921365
T013,R013,16,S011-O01-0.35,109.224016235,23.023728339999998,300.0,0.0,1.0,True,0.7120847525688101
T013,R013,17,O01-S005-0.35,109.22995871,23.025178005,300.0,0.0,1.0,True,0.7130455346266814
T013,R013,18,S011,109.2203356,23.0319231,80.0,0.0,1.0,True,0.7146635805467052
T013,R013,19,S008-O01-0.65,109.224515125,23.03336013,80.0,0.0,1.0,True,0.7154819753973092
T013,R013,20,O01-S001-0.65,109.23889883,23.02481358,300.0,0.0,1.0,True,0.7188844330709069
T014,R014,1,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.6912051229391803
T014,R014,2,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,True,0.6980048034412771
T014,R014,3,O01-S009-0.35,109.23900344500001,23.02488579,80.0,0.0,1.0,True,0.6985043267442959
T014,R014,4,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.7054643821984397
T014,R014,5,O01-S005-0.35,109.22995871,23.025178005,160.0,0.0,1.0,True,0.7064251642563109
T014,R014,6,O01-S001-0.65,109.23889883,23.02481358,160.0,0.0,1.0,True,0.7122640627005364
T014,R014,7,O01-S009-0.35,109.23900344500001,23.02488579,160.0,0.0,1.0,True,0.712763586003555
T014,R014,8,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.7197236414576988
T014,R014,9,O01-S005-0.35,109.22995871,23.025178005,240.0,0.0,1.0,True,0.7206844235155702
