rho,sid,gtype,q_max,binding,limit
0.35,S003,A,13.725,能量,2.925
0.35,S003,B,20.499,能量,2.6
0.35,S003,C,38.794,能量,5.2
0.35,S004,A,5.073,能量,2.925
0.35,S004,B,17.808,能量,2.6
0.35,S004,C,28.638,能量,5.2
0.35,S005,A,25.0,载质量,2.925
0.35,S005,B,30.0,载质量,2.6
0.35,S005,C,78.912,能量,5.2
0.35,S006,A,25.0,载质量,2.925
0.35,S006,B,30.0,载质量,2.6
0.35,S006,C,80.0,载质量,5.2
0.35,S007,A,25.0,载质量,2.925
0.35,S007,B,30.0,载质量,2.6
0.35,S007,C,80.0,载质量,5.2
0.35,S008,A,0.0,能量,2.925
0.35,S008,B,14.601,能量,2.6
0.35,S008,C,16.261,能量,5.2
0.35,S009,A,25.0,载质量,2.925
0.35,S009,B,30.0,载质量,2.6
0.35,S009,C,73.614,能量,5.2
0.35,S010,A,25.0,载质量,2.925
0.35,S010,B,30.0,载质量,2.6
0.35,S010,C,80.0,载质量,5.2
0.35,S011,A,25.0,载质量,2.925
0.35,S011,B,30.0,载质量,2.6
0.35,S011,C,80.0,载质量,5.2
0.35,S012,A,15.16,能量,2.925
0.35,S012,B,21.292,能量,2.6
0.35,S012,C,38.7,能量,5.2
0.35,S013,A,25.0,载质量,2.925
0.35,S013,B,30.0,载质量,2.6
0.35,S013,C,80.0,载质量,5.2
0.35,S014,A,25.0,载质量,2.925
0.35,S014,B,30.0,载质量,2.6
0.35,S014,C,74.287,能量,5.2
0.35,S015,A,25.0,载质量,2.925
0.35,S015,B,30.0,载质量,2.6
0.35,S015,C,66.055,能量,5.2
0.4,S001,A,25.0,载质量,2.7
0.4,S001,B,30.0,载质量,2.4
0.4,S001,C,80.0,载质量,4.8
0.4,S002,A,0.0,能量,2.7
0.4,S002,B,15.833,能量,2.4
0.4,S002,C,19.694,能量,4.8
0.4,S003,A,0.0,能量,2.7
0.4,S003,B,12.954,能量,2.4
0.4,S003,C,17.577,能量,4.8
0.4,S004,A,0.0,能量,2.7
0.4,S004,B,8.63,能量,2.4
0.4,S004,C,0.0,能量,4.8
0.4,S005,A,25.0,载质量,2.7
0.4,S005,B,30.0,载质量,2.4
0.4,S005,C,72.655,能量,4.8
0.4,S006,A,25.0,载质量,2.7
0.4,S006,B,30.0,载质量,2.4
0.4,S006,C,80.0,载质量,4.8
0.4,S007,A,25.0,载质量,2.7
0.4,S007,B,30.0,载质量,2.4
0.4,S007,C,80.0,载质量,4.8
0.4,S008,A,0.0,能量,2.7
0.4,S008,B,1.916,能量,2.4
0.4,S008,C,0.0,能量,4.8
0.4,S009,A,25.0,载质量,2.7
0.4,S009,B,30.0,载质量,2.4
0.4,S009,C,66.15,能量,4.8
0.4,S010,A,25.0,载质量,2.7
0.4,S010,B,30.0,载质量,2.4
0.4,S010,C,79.233,能量,4.8
0.4,S011,A,25.0,载质量,2.7
0.4,S011,B,30.0,载质量,2.4
0.4,S011,C,80.0,载质量,4.8
0.4,S012,A,0.0,能量,2.7
0.4,S012,B,14.201,能量,2.4
0.4,S012,C,16.978,能量,4.8
0.4,S013,A,25.0,载质量,2.7
0.4,S013,B,30.0,载质量,2.4
0.4,S013,C,78.74,能量,4.8
0.4,S014,A,25.0,载质量,2.7
0.4,S014,B,30.0,载质量,2.4
0.4,S014,C,66.814,能量,4.8
0.4,S015,A,25.0,载质量,2.7
0.4,S015,B,27.256,能量,2.4
0.4,S015,C,56.513,能量,4.8
