sid,gtype,payload_probe_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_positive,range_nonincreasing,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_return_empty_kwh,energy_return_probe_kwh,energy_limit_after_reserve_kwh,rho,outbound_loaded_return_empty_rule,energy_nonnegative
S007,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.741714970812631,1.2707596109918489,0.6874520078496681,1.1914522035844415,3.2,0.2,True,True
S007,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.4956927203929826,3.2384155895825613,1.437339164837427,3.1132768488418203,6.4,0.2,True,True
S008,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.51696188190682,1.9031556262732785,1.4790624991907706,1.8517207497300687,3.6,0.2,True,True
S008,B,30.0,28000.0,23757.359312880715,16000.0,True,True,1.212693976041187,2.1048312733476937,1.1775016920905697,2.0533963968044837,3.2,0.2,True,True
S008,C,80.0,26000.0,21050.25253169417,12000.0,True,True,2.5469663227991473,5.516990022794269,2.5091210820584062,5.435831201806615,6.4,0.2,True,True
S009,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.0691530450914275,1.3411150983485598,1.042078276572909,1.304370769644856,3.6,0.2,True,True
S009,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.8544196786030248,1.4835499575946047,0.8292788221215434,1.446805628890901,3.2,0.2,True,True
S009,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.79660416278323,3.891676435686915,1.7695680725054521,3.8336977528165446,6.4,0.2,True,True
S010,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.9414045762012905,1.1854009279851914,0.8821470916333892,1.104980056071611,3.6,0.2,True,True
S010,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.7580330469353712,1.3049448128029546,0.7030082398366058,1.2245239408893742,3.2,0.2,True,True
S010,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.5518826876801866,3.3606258137087988,1.492709856661668,3.2337301431841072,6.4,0.2,True,True
S011,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.5485936562807655,0.6904392939895619,0.5262563106017532,0.6601243248537595,3.6,0.2,True,True
S011,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.4413068130587453,0.7605438637562912,0.420564992071091,0.7302288946204888,3.2,0.2,True,True
S011,C,80.0,26000.0,21050.25253169417,12000.0,True,True,0.9066035983638523,1.963337036903035,0.884298163178667,1.9155032066561213,6.4,0.2,True,True
S012,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.4050851170116228,1.7645123854628602,1.3648302559005117,1.709880788240638,3.6,0.2,True,True
S012,B,30.0,28000.0,23757.359312880715,16000.0,True,True,1.1254174231796101,1.9490905175684892,1.0880379092907213,1.894458920346267,3.2,0.2,True,True
S012,C,80.0,26000.0,21050.25253169417,12000.0,True,True,2.3477446760131144,5.085094560260759,2.307547321846448,4.998891650538537,6.4,0.2,True,True
S013,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.9440322421461999,1.1877385719899216,0.8847482915289159,1.1072817818664649,3.6,0.2,True,True
S013,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.7589260551165973,1.3088749231861154,0.7038766724005479,1.2284181330626587,3.2,0.2,True,True
S013,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.562656807742151,3.384165441117845,1.5034575484828916,3.257213095438832,6.4,0.2,True,True
S014,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.0978972590359024,1.3855359962468863,1.0387985707642975,1.3053306335925652,3.6,0.2,True,True
S014,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.8879244518463668,1.5209567346011212,0.8330470984513051,1.4407513719468001,3.2,0.2,True,True
S014,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.7894091969971475,3.874332612853738,1.7303949354230734,3.7477769932549725,6.4,0.2,True,True
S015,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.1980403666119865,1.5101435505758534,1.1062561073527273,1.3855791987240014,3.6,0.2,True,True
