rho,sid,gtype,n_trips,feasible,qmax,total_energy
0.2,S007,B,2.0,True,30.0,3.4338
0.2,S007,C,1.0,True,80.0,3.4082
0.2,S008,A,3.0,True,25.0,9.5153
0.2,S008,B,2.0,True,28.869,5.7302
0.2,S008,C,1.0,True,59.091,5.8274
0.2,S009,A,2.0,True,25.0,4.3955
0.2,S009,B,1.0,True,30.0,2.093
0.2,S009,C,1.0,True,80.0,3.7638
0.2,S010,A,2.0,True,25.0,3.808
0.2,S010,B,1.0,True,30.0,1.8203
0.2,S010,C,1.0,True,80.0,3.2262
0.2,S011,A,2.0,True,25.0,2.2428
0.2,S011,B,1.0,True,30.0,1.0713
0.2,S011,C,1.0,True,80.0,1.8961
0.2,S012,A,2.0,True,25.0,5.771
0.2,S012,B,1.0,True,30.0,2.7509
0.2,S012,C,1.0,True,68.191,4.9184
0.2,S013,A,2.0,True,25.0,3.817
0.2,S013,B,1.0,True,30.0,1.8233
0.2,S013,C,1.0,True,80.0,3.2466
0.2,S014,A,2.0,True,25.0,4.4669
0.2,S014,B,1.0,True,30.0,2.1392
0.2,S014,C,1.0,True,80.0,3.7367
0.2,S015,A,2.0,True,25.0,4.8163
0.2,S015,B,1.0,True,30.0,2.3049
0.2,S015,C,1.0,True,80.0,4.0709
0.3,S001,A,10.0,True,25.0,12.3735
0.3,S001,B,7.0,True,30.0,7.7841
0.3,S001,C,2.0,True,80.0,5.9229
0.3,S002,A,5.0,True,25.0,14.5671
0.3,S002,B,4.0,True,26.815,10.1175
0.3,S002,C,2.0,True,53.15,10.4056
0.3,S003,A,5.0,True,24.831,14.8815
0.3,S003,B,4.0,True,25.471,10.3848
0.3,S003,C,2.0,True,51.912,10.4894
0.3,S004,A,5.0,True,20.166,15.0264
0.3,S004,B,3.0,True,23.432,7.9874
0.3,S004,C,2.0,True,44.842,10.4351
0.3,S005,A,4.0,True,25.0,8.3835
0.3,S005,B,3.0,True,30.0,5.4771
0.3,S005,C,1.0,True,80.0,4.2136
0.3,S006,A,4.0,True,25.0,5.1898
0.3,S006,B,3.0,True,30.0,3.4041
0.3,S006,C,1.0,True,80.0,2.5966
0.3,S007,A,3.0,True,25.0,5.6665
0.3,S007,B,2.0,True,30.0,3.4338
0.3,S007,C,1.0,True,80.0,3.4082
0.3,S008,A,4.0,True,14.489,12.4115
0.3,S008,B,3.0,True,21.109,7.8348
0.3,S008,C,2.0,True,37.136,10.5876
0.3,S009,A,2.0,True,25.0,4.3955
0.3,S009,B,1.0,True,30.0,2.093
0.3,S009,C,1.0,True,79.255,3.7638
0.3,S010,A,2.0,True,25.0,3.808
0.3,S010,B,1.0,True,30.0,1.8203
0.3,S010,C,1.0,True,80.0,3.2262
0.3,S011,A,2.0,True,25.0,2.2428
0.3,S011,B,1.0,True,30.0,1.0713
0.3,S011,C,1.0,True,80.0,1.8961
0.3,S012,A,2.0,True,25.0,5.771
0.3,S012,B,1.0,True,26.016,2.7509
0.3,S012,C,1.0,True,51.868,4.9184
0.3,S013,A,2.0,True,25.0,3.817
0.3,S013,B,1.0,True,30.0,1.8233
0.3,S013,C,1.0,True,80.0,3.2466
0.3,S014,A,2.0,True,25.0,4.4669
0.3,S014,B,1.0,True,30.0,2.1392
0.3,S014,C,1.0,True,79.941,3.7367
0.3,S015,A,2.0,True,25.0,4.8163
0.3,S015,B,1.0,True,30.0,2.3049
0.3,S015,C,1.0,True,73.102,4.0709
0.4,S001,A,10.0,True,25.0,12.3735
0.4,S001,B,7.0,True,30.0,7.7841
0.4,S001,C,2.0,True,80.0,5.9229
0.4,S002,A,,False,0.0,0.0
0.4,S002,B,6.0,True,15.833,14.091
0.4,S002,C,6.0,True,19.694,28.344
0.4,S003,A,,False,0.0,0.0
0.4,S003,B,,False,12.954,0.0
0.4,S003,C,6.0,True,17.577,28.4946
0.4,S004,A,,False,0.0,0.0
0.4,S004,B,,False,8.63,0.0
0.4,S004,C,,False,0.0,0.0
0.4,S005,A,4.0,True,25.0,8.3835
0.4,S005,B,3.0,True,30.0,5.4771
0.4,S005,C,1.0,True,72.655,4.2136
0.4,S006,A,4.0,True,25.0,5.1898
0.4,S006,B,3.0,True,30.0,3.4041
0.4,S006,C,1.0,True,80.0,2.5966
0.4,S007,A,3.0,True,25.0,5.6665
0.4,S007,B,2.0,True,30.0,3.4338
0.4,S007,C,1.0,True,80.0,3.4082
0.4,S008,A,,False,0.0,0.0
0.4,S008,B,,False,1.916,0.0
0.4,S008,C,,False,0.0,0.0
0.4,S009,A,2.0,True,25.0,4.3955
0.4,S009,B,1.0,True,30.0,2.093
0.4,S009,C,1.0,True,66.15,3.7638
0.4,S010,A,2.0,True,25.0,3.808
0.4,S010,B,1.0,True,30.0,1.8203
0.4,S010,C,1.0,True,79.233,3.2262
0.4,S011,A,2.0,True,25.0,2.2428
0.4,S011,B,1.0,True,30.0,1.0713
0.4,S011,C,1.0,True,80.0,1.8961
0.4,S012,A,,False,0.0,0.0
0.4,S012,B,2.0,True,14.201,4.7319
0.4,S012,C,2.0,True,16.978,9.4951
0.4,S013,A,2.0,True,25.0,3.817
0.4,S013,B,1.0,True,30.0,1.8233
0.4,S013,C,1.0,True,78.74,3.2466
0.4,S014,A,2.0,True,25.0,4.4669
0.4,S014,B,1.0,True,30.0,2.1392
0.4,S014,C,1.0,True,66.814,3.7367
0.4,S015,A,2.0,True,25.0,4.8163
0.4,S015,B,1.0,True,27.256,2.3049
0.4,S015,C,1.0,True,56.513,4.0709
