K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0000111000000,3,21,0.593791,12
2,0000111000001,3,22,0.505645,11
2,0000111000010,4,23,0.512829,11
2,0000111000011,3,22,0.424683,11
2,0000111000100,4,23,0.488305,11
2,0000111000101,6,26,0.400158,10
2,0000111000110,4,23,0.407343,11
2,0000111000111,6,26,0.319196,10
2,0000111001000,4,23,0.51727,11
2,0000111001001,3,21,0.429124,12
2,0000111001010,5,25,0.436308,10
2,0000111001011,3,22,0.348162,11
2,0000111001100,4,22,0.411784,12
2,0000111001101,5,25,0.323638,10
2,0000111001110,4,23,0.330822,11
2,0000111001111,5,25,0.242676,10
2,0000111010000,5,25,0.5049,10
2,0000111010001,4,23,0.416754,11
2,0000111010010,5,25,0.423938,10
2,0000111010011,4,23,0.335792,11
2,0000111010100,4,23,0.399414,11
2,0000111010101,6,26,0.311267,10
2,0000111010110,4,23,0.318452,11
2,0000111010111,6,26,0.230305,10
2,0000111011000,5,25,0.428379,10
2,0000111011001,4,22,0.340233,12
2,0000111011010,6,26,0.347417,10
2,0000111011011,4,23,0.259271,11
2,0000111011100,4,22,0.322893,12
2,0000111011101,5,25,0.234747,10
2,0000111011110,4,23,0.241931,11
2,0000111011111,5,24,0.153785,11
2,0000111100000,1,18,0.39264,13
2,0000111100001,1,19,0.304494,12
2,0000111100010,2,20,0.311678,12
2,0000111100011,1,19,0.223532,12
2,0000111100100,2,20,0.287153,12
2,0000111100101,3,23,0.199007,10
2,0000111100110,2,20,0.206191,12
2,0000111100111,3,23,0.118045,10
2,0000111101000,2,21,0.316119,11
2,0000111101001,1,19,0.227973,12
2,0000111101010,3,22,0.235157,11
2,0000111101011,1,19,0.147011,12
2,0000111101100,2,20,0.210633,12
2,0000111101101,3,23,0.122487,10
2,0000111101110,2,20,0.129671,12
2,0000111101111,3,22,0.041525,11
2,0000111110000,3,22,0.303749,11
2,0000111110001,2,20,0.215603,12
2,0000111110010,3,22,0.222787,11
2,0000111110011,2,20,0.134641,12
2,0000111110100,2,20,0.198262,12
2,0000111110101,3,23,0.110116,10
2,0000111110110,2,20,0.1173,12
2,0000111110111,3,23,0.029154,10
2,0000111111000,3,22,0.227228,11
2,0000111111001,2,20,0.139082,12
2,0000111111010,4,23,0.146266,11
2,0000111111011,2,20,0.05812,12
2,0000111111100,2,20,0.121742,12
2,0000111111101,3,23,0.033596,10
2,0000111111110,2,20,0.04078,12
2,0000111111111,3,21,0.047366,12
2,0001000000000,3,21,0.805683,12
2,0001000000001,3,21,0.717536,12
2,0001000000010,5,25,0.724721,10
2,0001000000011,4,23,0.636574,11
2,0001000000100,3,21,0.700196,12
2,0001000000101,5,25,0.61205,10
2,0001000000110,4,23,0.619234,11
2,0001000000111,5,25,0.531088,10
2,0001000001000,4,23,0.729162,11
2,0001000001001,3,20,0.641016,13
2,0001000001010,6,26,0.6482,10
2,0001000001011,4,23,0.560054,11
2,0001000001100,3,20,0.623675,13
2,0001000001101,5,24,0.535529,11
2,0001000001110,4,23,0.542713,11
2,0001000001111,5,24,0.454567,11
2,0001000010000,4,23,0.716792,11
2,0001000010001,3,21,0.628645,12
2,0001000010010,5,25,0.63583,10
2,0001000010011,4,23,0.547683,11
2,0001000010100,3,21,0.611305,12
2,0001000010101,5,25,0.523159,10
2,0001000010110,4,23,0.530343,11
2,0001000010111,5,25,0.442197,10
2,0001000011000,4,23,0.640271,11
2,0001000011001,3,20,0.552125,13
2,0001000011010,6,26,0.559309,10
2,0001000011011,4,23,0.471163,11
2,0001000011100,3,20,0.534784,13
2,0001000011101,5,24,0.446638,11
2,0001000011110,4,23,0.453822,11
2,0001000011111,5,23,0.365676,12
2,0001000100000,3,21,0.604531,12
2,0001000100001,3,21,0.516385,12
2,0001000100010,5,25,0.523569,10
2,0001000100011,4,22,0.435423,12
2,0001000100100,4,22,0.499045,12
2,0001000100101,5,25,0.410899,10
2,0001000100110,4,22,0.418083,12
2,0001000100111,5,25,0.329937,10
2,0001000101000,4,24,0.528011,10
2,0001000101001,3,21,0.439865,12
2,0001000101010,6,26,0.447049,10
2,0001000101011,4,23,0.358903,11
