架次编号,无人机编号,能源组件编号,关联路线机型,关联路线停靠,悬停经度,悬停纬度,悬停AGL_m,起飞时刻_s,到位时刻_s,撤离时刻_s,返航时刻_s,E_kWh,电量是否达标
RT022,R02,R-能源组件05,B,O01->S005->O01,109.19848918,23.05847175,100.0,33434.87163663224,34225.61647524974,35202.63372424901,35833.81492964712,0.6266702110443111,True
RT023,R01,R-能源组件04,B,O01->S008->O01,109.19848918,23.05847175,100.0,33765.06477408715,34555.80961270465,35885.90665647622,36517.08786187432,0.7345557038914016,True
RT024,R02,R-能源组件01,B,O01->S004->O01,109.22800172,23.07850936,200.0,36133.81492964712,36959.669471573165,38296.8765109573,38945.94278740077,0.7738083136773088,True
RT025,R01,R-能源组件06,B,O01->S007->O01,109.19848918,23.05847175,100.0,36817.08786187432,37607.832700491825,38511.79030187403,39142.97150727214,0.604346429827985,True
RT026,R02,R-能源组件02,B,O01->S004->S008->O01,109.22800172,23.07850936,200.0,39245.94278740077,40071.797329326815,41861.21381219626,42510.28008863973,0.9119834214089336,True
RT027,R01,R-能源组件03,B,O01->S003->O01,109.19848918,23.05847175,300.0,39442.97150727214,40283.71634588964,41595.10140242758,42292.94927449235,0.7466082139650781,True
RT028,R01,R-能源组件05,B,O01->S003->O01,109.19848918,23.05847175,300.0,42592.94927449235,43433.69411310985,44745.0791696478,45442.927041712566,0.7466082139650781,True
RT029,R02,R-能源组件04,B,O01->S003->O01,109.19848918,23.05847175,300.0,42810.28008863973,43651.02492725723,44962.40998379518,45660.25785585995,0.7466082139650781,True
RT030,R01,R-能源组件01,B,O01->S008->O01,109.19848918,23.05847175,100.0,45742.927041712566,46533.67188033007,47863.768924101634,48494.95012949974,0.7345557038914016,True
RT031,R02,R-能源组件06,B,O01->S004->O01,109.22800172,23.07850936,200.0,45960.25785585995,46786.112397786,48123.31943717013,48772.3857136136,0.7738083136773088,True
RT032,R01,R-能源组件03,B,O01->S009->O01,109.19848918,23.05847175,100.0,48794.95012949974,49585.69496811724,50571.004925019406,51202.18613041751,0.6292040940146412,True
RT033,R02,R-能源组件02,B,O01->S005->O01,109.19848918,23.05847175,100.0,49072.3857136136,49863.1305522311,50840.14780123037,51471.329006628475,0.6266702110443111,True
RT034,R01,R-能源组件05,B,O01->S003->O01,109.19848918,23.05847175,300.0,51502.18613041751,52342.93096903501,53654.31602557296,54352.16389763773,0.7466082139650781,True
RT035,R02,R-能源组件04,B,O01->S015->O01,109.19848918,23.05847175,100.0,51771.329006628475,52562.07384524598,53613.660597267575,54244.84180266568,0.6494553369678019,True
