candidate_id,lon,lat,agl_m,altitude_msl_m,gateway_link_margin_db,gateway_los_blocked,energy_margin_at_60s_kwh,max_service_s,demand_samples,covered_samples,coverage_ratio,backhaul_available,backhaul_margin_db
P0022,109.19814331358863,23.032340851988714,60.0,445.9930114746094,3.3512597736323215,True,2.331809648542499,7691.377031593633,81,41,0.5061728395061729,True,3.3512597736323215
P0023,109.19814331358863,23.032340851988714,150.0,535.9930114746094,3.3512597736323215,True,2.3238131207647212,7665.2065770481795,81,49,0.6049382716049383,True,3.3512597736323215
P0024,109.19814331358863,23.032340851988714,300.0,685.9930114746094,13.351259773632322,False,2.3104855744684247,7621.589152805754,81,68,0.8395061728395061,True,13.351259773632322
P0025,109.19814331358863,23.04590642798307,60.0,543.6882934570312,1.4235705939051115,True,2.270042945815483,7489.231459032489,81,48,0.5925925925925926,True,1.4235705939051115
P0026,109.19814331358863,23.04590642798307,150.0,633.6882934570312,1.4235705939051115,True,2.2700132169707574,7489.1341646315705,81,69,0.8518518518518519,True,1.4235705939051115
P0027,109.19814331358863,23.04590642798307,300.0,783.6882934570312,11.423570593905112,False,2.2566856706744614,7445.5167403891455,81,81,1.0,True,11.423570593905112
P0028,109.19814331358863,23.059472003977426,150.0,796.3224487304688,9.612853398856814,False,2.2030177256561765,7269.876193056576,81,64,0.7901234567901234,True,9.612853398856814
P0029,109.19814331358863,23.059472003977426,300.0,946.3224487304688,9.612853398856814,False,2.1896901793598804,7226.258768814153,81,67,0.8271604938271605,True,9.612853398856814
P0030,109.19814331358863,23.086603155966138,300.0,705.6296691894531,6.611355009609682,False,2.0958101007077414,6919.014875043516,81,19,0.2345679012345679,True,6.611355009609682
P0031,109.21278607038295,22.991644124005646,60.0,331.28118896484375,7.55434571085587,True,2.4116589699139968,7952.702083354898,81,5,0.06172839506172839,True,7.55434571085587
P0032,109.21278607038295,22.991644124005646,150.0,421.28118896484375,17.55434571085587,False,2.403662442136219,7926.531628809443,81,6,0.07407407407407407,True,17.55434571085587
P0033,109.21278607038295,22.991644124005646,300.0,571.2811889648438,17.55434571085587,False,2.390334895839923,7882.91420456702,81,7,0.08641975308641975,True,17.55434571085587
P0034,109.21278607038295,23.0052097,60.0,223.62432861328125,10.43162947597557,True,2.442856845947447,8054.804223100735,81,0,0.0,True,10.43162947597557
