option_id,candidate_id,covered_demand_ids,service_start_s,service_end_s,launch_start_s,relay_ready_s,return_end_s,resource_end_s,charge_start_s,charge_end_s,energy_kwh,soc_after
SO-00190,P0045,"[""D-T004-01"", ""D-T014-01""]",750.5149475097656,2556.8499085449344,119.34630188846921,750.5149475097656,3017.7318043900264,3317.7318043900264,3317.7318043900264,4137.54846150133,0.7872410021201335,0.7539871868374584
SO-00191,P0045,"[""D-T004-01"", ""D-T014-01"", ""D-T005-01""]",750.5149475097656,3180.1895581818935,119.34630188846921,750.5149475097656,3641.0714540269855,3941.0714540269855,3941.0714540269855,4838.264473897045,0.9777058950647599,0.6944669077922625
SO-00192,P0045,"[""D-T014-01""]",2131.391058349609,2556.8499085449344,1500.2224127283125,2131.391058349609,3017.7318043900264,3317.7318043900264,3317.7318043900264,3966.1376248258985,0.3653066349190701,0.8858416765877906
SO-00193,P0045,"[""D-T014-01"", ""D-T005-01""]",2131.391058349609,3180.1895581818935,1500.2224127283125,2131.391058349609,3641.0714540269855,3941.0714540269855,3941.0714540269855,4666.853637221612,0.5557715278636965,0.8263213975425948
SO-00194,P0045,"[""D-T014-01"", ""D-T005-01"", ""D-T010-01""]",2131.391058349609,4319.0751995308465,1500.2224127283125,2131.391058349609,4779.9570953759385,5079.9570953759385,5079.9570953759385,5947.111367731069,0.9037643627203211,0.7175736366498997
SO-00195,P0045,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1614.8492913904224,2246.017937011719,3641.0714540269855,3941.0714540269855,3941.0714540269855,4652.624779887687,0.5207466482724963,0.837266672414845
SO-00196,P0045,"[""D-T005-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1614.8492913904224,2246.017937011719,4779.9570953759385,5079.9570953759385,5079.9570953759385,5932.882510397144,0.8687394831291209,0.7285189115221498
SO-00197,P0045,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3164.298285531047,3795.4669311523435,4779.9570953759385,5079.9570953759385,5079.9570953759385,5740.546393936979,0.39529673491948547,0.8764697703376608
SO-00198,P0045,"[""D-T024-01""]",5562.833085123698,6188.419593866759,4931.664439502401,5562.833085123698,6649.301489711851,6949.301489711851,6949.301489711851,7622.549545540367,0.426456752808656,0.866732264747295
SO-00199,P0045,"[""D-T024-01"", ""D-T011-01""]",5562.833085123698,7398.670514035484,4931.664439502401,5562.833085123698,7859.552409880576,8159.552409880576,8159.552409880576,8983.031265695314,0.7962556450824332,0.7511701109117397
SO-00200,P0045,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6152.351671761516,6783.520317382812,7859.552409880576,8159.552409880576,8159.552409880576,8831.504985996484,0.423267879669926,0.8677287876031481
SO-00201,P0045,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8026.572256071411,8657.740901692707,9663.255645415242,9963.255645415242,9963.255645415242,10626.454765910614,0.40172091198860604,0.8744622150035606
SO-00202,P0047,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3121.4779827824027,3795.4669311523435,4805.9213139367575,5105.9213139367575,5105.9213139367575,5783.448349445139,0.436989625866784,0.86344074191663
SO-00203,P0047,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6109.531369012871,6783.520317382812,7885.516628441395,8185.516628441395,8185.516628441395,8874.406941504643,0.4649607706172245,0.8546997591821174
SO-00204,P0048,"[""D-T004-01""]",750.5149475097656,1599.0794106485098,39.025999139824705,750.5149475097656,2135.925525054421,2435.925525054421,2435.925525054421,3159.2043205605287,0.5496093427842651,0.8282470803799171
SO-00205,P0048,"[""D-T004-01"", ""D-T005-01""]",750.5149475097656,3180.1895581818935,39.025999139824705,750.5149475097656,3717.0356725878046,4017.0356725878046,4017.0356725878046,4936.580745088074,1.0327263323083546,0.6772730211536392
