sid,gtype,payload_probe_kg,full_payload_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_empty_endpoint_error_m,range_full_endpoint_error_m,range_positive,range_nonincreasing,range_empty_endpoint,range_full_endpoint,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_outbound_full_kwh,energy_return_empty_kwh,energy_return_probe_kwh,return_payload_check_kg,return_payload_is_zero,return_energy_direct_q0_kwh,return_energy_actual_kwh,return_energy_matches_q0,energy_roundtrip_full_kwh,energy_limit_after_reserve_kwh,full_load_margin_kwh,full_load_roundtrip_feasible,rho,energy_nonnegative
S004,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,1.1688582429571737,2.02575792144647,2.02575792144647,1.1441351719695194,1.1441351719695194,0.0,True,1.1441351719695194,1.1441351719695194,True,3.1698930934159892,3.2,0.03010690658401094,True,0.2,True
S004,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,2.443724582378082,5.293104424177615,5.293104424177615,2.417137772192897,2.417137772192897,0.0,True,2.417137772192897,2.417137772192897,True,7.710242196370512,6.4,-1.3102421963705115,False,0.2,True
S005,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.0008693375497164,1.2566388935108694,1.2566388935108694,0.9830576863151486,0.9830576863151486,0.0,True,0.9830576863151486,0.9830576863151486,True,2.2396965798260178,3.6,1.3603034201739823,True,0.2,True
S005,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.8013324305132472,1.3884511994638733,1.3884511994638733,0.7847930400811484,0.7847930400811484,0.0,True,0.7847930400811484,0.7847930400811484,True,2.1732442395450215,3.2,1.0267557604549786,True,0.2,True
S005,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.674052009104077,3.6259652272669305,3.6259652272669305,1.6562658030855584,1.6562658030855584,0.0,True,1.6562658030855584,1.6562658030855584,True,5.282231030352489,6.4,1.1177689696475115,True,0.2,True
S006,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.6363207856957072,0.8021611060365426,0.8021611060365426,0.5868028073006455,0.5868028073006455,0.0,True,0.5868028073006455,0.5868028073006455,True,1.388963913337188,3.6,2.211036086662812,True,0.2,True
S006,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.5135292452200017,0.8817758693427316,0.8817758693427316,0.46754826528173005,0.46754826528173005,0.0,True,0.46754826528173005,0.46754826528173005,True,1.3493241346244615,3.2,1.8506758653755386,True,0.2,True
S006,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.0428783648279136,2.2581726981843184,2.2581726981843184,0.9934311264019877,0.9934311264019877,0.0,True,0.9934311264019877,0.9934311264019877,True,3.251603824586306,6.4,3.148396175413694,True,0.2,True
S007,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.9172715354175129,1.1574860544439936,1.1574860544439936,0.8588344983804759,0.8588344983804759,0.0,True,0.8588344983804759,0.8588344983804759,True,2.016320552824469,3.6,1.5836794471755309,True,0.2,True
S007,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.741714970812631,1.2707596109918489,1.2707596109918489,0.6874520078496681,0.6874520078496681,0.0,True,0.6874520078496681,0.6874520078496681,True,1.958211618841517,3.2,1.2417883811584831,True,0.2,True
