任务组数,迭代,目标值,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数
3,130,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,131,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,132,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,133,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,137,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,138,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,140,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,141,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,142,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,143,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,144,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,145,9270.199580026821,0,28,0.12294896454282284,0.3981220289170365
3,146,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,147,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,148,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,151,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,152,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,153,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,154,7831.69512277887,0,28,0.12294896454282284,0.2542715831922413
3,156,7933.641607809609,0,29,0.12294896454282284,0.25446623169531524
3,157,7933.641607809609,0,29,0.12294896454282284,0.25446623169531524
3,161,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,162,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,167,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,169,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,170,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,171,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,172,7244.842552554228,0,28,0.12787451643043182,0.1857352223945592
3,173,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,175,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,176,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,177,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,179,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,180,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
